position,skills,experience,company_name,job_locations,education,job_type,workplace,vacancies,salary,posted_date,deadline,source,job_url
Operations Manager – IoT Solutions,IoT device; Operations Management; Planning and Deployment; Purchase; Procurement; Resource Management; Risk Management; SOP Development; Stakeholder Management,"3 to 5 years The applicants should have experience in the following business area(s): Artificial Intelligence (AI) Startup, Business-to-Business (B2B) Software and Services Startup, IT Enabled Service, Manufacturing (Light Engineering and Heavy Industry)",Bondstein Technologies Ltd.,Dhaka (Tejgaon Industrial Area),Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Business Administration (BBA) in Management,FullTime,Office,1,Tk. 40000 - 60000 (Monthly),2026-09-15,2026-09-24,bdjobs.com,https://bdjobs.com/h/details/1525915
Assistant Manager - Software Development,API; ASP.NET Core; C#; JavaScript; jQuery; Kendo UI; Microsoft SQL Server (MSSQL); MVC; MySQL; ASP.NET MVC; JavaScript ES6,"4 to 7 years The applicants should have experience in the following business area(s): ISP, IT Enabled Service, Software Company",Amber IT Ltd.,Dhaka (GULSHAN 1),Bachelor of Science (BSc) in Computer Science & Engineering Master of Science (MSc) in Computer Science & Engineering,FullTime,Office,2,Negotiable,2026-09-15,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533363
"Senior Executive/ Executive, MIS",Analytical Skill; Data analysis; Database management; Microsoft Excel; MIS Reporting,"At least 3 years The applicants should have experience in the following business area(s): Agro based firms (incl. Agro Processing/Seed/GM), Group of Companies, Food (Packaged), Beverage, Dairy, Manufacturing (FMCG)",Akij Food & Beverage Ltd.,Dhaka (Dhamrai),Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Business Administration (BBA) in Management Information System,FullTime,Office,1,Negotiable,2026-09-15,2026-09-25,bdjobs.com,https://bdjobs.com/h/details/1533541
Sr. Executive/Assistant Manager-Audit,Audit; Internal Audit; Internal Control; Fraud Detection; Compliance Audit,"At least 4 years The applicants should have experience in the following business area(s): Automobile, Group of Companies, Manufacturing (FMCG), Pharmaceutical/Medicine Companies",Uttara Motors Ltd.,Dhaka,Master of Business Administration (MBA) in Accounting CACC from Reputed Audit Firm,FullTime,Office,1,Negotiable,2026-09-15,2026-10-15,bdjobs.com,https://bdjobs.com/h/details/1533893
Website Manager,Graphic Design; Hardware & Networking; MS Excel; MS Office; PHP Laravel; Search Engine Optimization (SEO); Website Management; Product Management; Online sales; Order Management,NA,Dhaka Mart,Dhaka (Mirpur),Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,1,Tk. 16000 - 22000 (Monthly),2026-09-14,2026-10-15,bdjobs.com,https://bdjobs.com/h/details/1533525
Intern- Web Development,HTML5 & CSS3; UI; UX Design; Web Templates; Problem solving and decision making; Attention to details,NA,Wave Riders Limited (Turaag Active),Dhaka (GULSHAN 1),Bachelor of Science (BSc) in Computer Science & Engineering,Intern,Office,1,Negotiable,2026-09-14,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533497
Software Quality Assurance (QA) Engineer,REST API; SQL Database; Git and Github; Version Control; Automated Testing; Regression Testing,NA,Pakiza Software Ltd,Dhaka (Dhanmondi),,FullTime,Office,2,Negotiable,2026-09-14,2026-10-14,bdjobs.com,https://bdjobs.com/h/details/1533480
Server Administrator,AWS; DNS; hyper V; Linux server; Microsoft Azure; Python; VMware,"At least 7 years The applicants should have experience in the following business area(s): Banks, Telecommunication, Software Company, IT Enabled Service, Financial Technology (Fintech) Startup",BURO Bangladesh,Dhaka,Master of Science (MSc) in Computer Science Master of Science (MSc) in Information Technology Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Information Technology Bachelor,FullTime,Office,1,Tk. 75000 - 120000 (Monthly),2026-09-14,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1533270
Database Administrator (DBA),AWS; Azure SQL; Database Administration; Database design; MSSQLServer; PostgreSQL,"5 to 7 years The applicants should have experience in the following business area(s): Banks, Telecommunication, Software Company, IT Enabled Service, Financial Technology (Fintech) Startup",BURO Bangladesh,Dhaka,Master of Science (MSc) in Computer Science Master of Science (MSc) in Information Technology Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Information Technology Bachelor,FullTime,Office,1,Tk. 75000 - 120000 (Monthly),2026-09-14,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1533266
Mobile Application Developer,Flutter; Git and Github; React Hook; React Native; Redux; RESTful API; Software Deployment,"3 to 5 years The applicants should have experience in the following business area(s): Banks, Telecommunication, Software Company, IT Enabled Service, Financial Technology (Fintech) Startup",BURO Bangladesh,Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Information Technology Bachelor of Science (BSc) in Electrical & Electronic Engineering Bachelor’s degree in Computer Science,FullTime,Office,1,Tk. 55000 - 90000 (Monthly),2026-09-14,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1533263
